Timestamp, IMU_Temperature, IMU_Accel_X, IMU_Accel_Y, IMU_Accel_Z, IMU_Mag_X, IMU_Mag_Y, IMU_Mag_Z, IMU_Gyro_X, IMU_Gyro_Y, IMU_Gyro_Z, ADXL_Accel_X, ADXL_Accel_Y, ADXL_Accel_Z, BMP_Temperature, BMP_Pressure, BMP_Altitude, Message
-179.40,23.09,9.28,13.67,1015.63,-3.90,-38.40,81.00,1.04,1.28,0.30,-185.83,-185.46,-185.76,17.88,929.98,736.24,[SD card reader initialization successful; SD card file successfully created with the name: sensors2.csv; IMU initialization successful; Barometer initialization successful; ]
-178.62,22.95,8.30,25.88,1031.74,-4.05,-37.50,80.55,0.91,1.40,0.18,96.30,95.63,96.86,17.90,929.99,736.18,[No messages]
-177.88,23.24,9.77,19.04,1030.27,-3.90,-37.20,82.20,0.55,1.28,0.30,96.15,95.63,96.89,17.89,929.96,736.43,[No messages]
-177.13,23.09,11.23,2.44,1028.32,-5.10,-38.25,79.05,0.85,1.28,0.00,96.08,95.41,97.26,17.89,929.95,736.47,[No messages]
-176.39,22.95,12.70,10.74,1025.88,-4.20,-37.20,81.75,1.22,1.28,0.12,96.30,95.60,96.82,17.89,929.96,736.37,[No messages]
-175.64,22.71,9.28,9.77,1025.39,-3.60,-35.55,80.55,0.85,1.28,0.12,97.11,96.23,97.71,17.89,929.97,736.35,[No messages]
-174.88,22.81,11.72,11.72,1033.69,-3.45,-37.20,81.45,0.67,1.46,0.49,96.56,96.15,97.19,17.88,929.96,736.35,[No messages]
-174.13,22.76,1.46,21.48,1023.93,-6.00,-37.95,82.20,0.85,1.22,0.00,96.45,95.60,97.04,17.88,929.96,736.42,[No messages]
-173.37,23.09,10.74,8.79,1033.69,-3.15,-34.95,84.75,0.73,1.46,0.12,96.37,96.00,96.97,17.88,929.97,736.26,[No messages]
-172.61,23.09,8.79,8.30,1029.30,-3.30,-36.30,83.10,0.73,1.34,0.06,96.52,95.63,97.26,17.87,929.95,736.45,[No messages]
-171.84,22.90,9.28,15.14,1023.93,-2.85,-37.80,81.30,0.85,1.22,0.06,96.08,95.67,97.11,17.87,929.95,736.47,[Deployment Successful; ]
-171.09,22.95,9.77,20.02,1023.44,-3.60,-36.60,80.85,0.85,1.22,0.06,96.74,95.49,97.34,17.87,929.94,736.54,[No messages]
-170.34,23.05,8.30,16.11,1029.79,-5.10,-37.80,82.05,0.73,1.22,-0.12,96.67,96.08,97.26,17.87,929.95,736.41,[No messages]
-169.60,23.09,8.79,14.16,1025.39,-4.65,-38.40,81.75,0.79,1.40,0.30,96.15,95.67,96.82,17.87,929.96,736.35,[No messages]
-168.84,23.09,12.70,14.65,1030.27,-4.65,-36.90,81.45,0.85,1.28,0.37,96.30,95.34,97.41,17.87,929.96,736.39,[No messages]
-168.09,22.90,14.65,15.14,1023.44,-3.45,-38.40,80.70,0.67,1.34,0.06,96.67,95.56,97.67,17.86,929.95,736.45,[No messages]
-167.35,22.90,6.35,13.18,1028.32,-4.80,-38.25,81.30,0.79,1.04,0.18,96.08,95.56,96.97,17.87,929.96,736.40,[No messages]
-166.61,22.81,9.28,6.35,1025.39,-2.85,-36.60,79.35,0.91,1.28,0.24,97.00,95.93,97.34,17.86,929.93,736.64,[No messages]
-165.84,22.81,14.65,16.11,1025.39,-4.05,-38.25,80.55,0.98,1.34,0.12,96.30,95.41,97.34,17.85,929.92,736.73,[No messages]
-165.07,23.09,15.63,13.67,1028.81,-4.20,-34.50,85.50,0.85,1.34,0.30,97.15,95.71,99.85,17.86,929.95,736.42,[No messages]
-164.31,22.61,9.77,17.58,1029.79,-3.15,-34.20,85.50,0.85,0.98,0.06,96.30,95.67,97.04,17.86,929.94,736.54,[No messages]
-163.54,23.09,10.74,12.70,1027.34,-5.85,-37.05,81.30,0.85,1.46,0.24,96.30,95.75,97.19,17.86,929.99,736.08,[Retraction Successful; ]
-162.80,22.95,11.72,12.70,1023.93,-2.70,-36.45,80.70,0.73,1.28,0.30,96.45,95.56,97.00,17.85,929.96,736.33,[No messages]
-162.03,23.24,17.09,15.63,1026.86,-4.80,-37.05,80.10,0.85,1.34,0.12,96.52,95.63,97.48,17.85,929.96,736.33,[No messages]
-161.29,22.95,8.30,13.18,1025.88,-4.05,-37.50,79.95,0.67,1.34,0.12,96.78,96.04,97.67,17.85,929.96,736.27,[No messages]
-160.54,23.09,8.79,12.70,1030.76,-4.35,-39.00,81.30,0.98,1.22,0.12,96.08,95.49,96.67,17.85,929.98,736.13,[No messages]
-159.80,22.95,13.18,13.67,1029.30,-3.45,-37.65,81.00,0.73,1.28,0.18,100.59,96.08,97.34,17.85,929.98,736.16,[No messages]
-159.04,23.14,8.79,18.07,1026.86,-4.65,-37.20,80.70,0.61,1.28,-0.06,96.37,95.52,97.11,17.84,929.96,736.25,[No messages]
-158.29,22.95,6.84,13.67,1029.30,-4.80,-37.05,81.60,0.85,1.34,0.12,96.08,95.49,97.11,17.84,929.96,736.31,[No messages]
-157.55,23.09,7.32,17.09,1026.37,-4.05,-36.60,80.55,0.98,1.28,0.06,97.15,95.41,97.11,17.84,929.98,736.14,[No messages]
-156.79,23.05,9.28,8.79,1026.37,-3.30,-37.05,80.55,0.79,1.22,0.00,96.74,95.93,97.15,17.84,929.98,736.07,[No messages]
-156.04,22.95,14.65,11.72,1018.55,-4.05,-37.80,80.85,0.61,1.52,0.18,96.71,95.89,97.26,17.84,929.96,736.25,[No messages]
