Timestamp, IMU_Temperature, IMU_Accel_X, IMU_Accel_Y, IMU_Accel_Z, IMU_Mag_X, IMU_Mag_Y, IMU_Mag_Z, IMU_Gyro_X, IMU_Gyro_Y, IMU_Gyro_Z, ADXL_Accel_X, ADXL_Accel_Y, ADXL_Accel_Z, BMP_Temperature, BMP_Pressure, BMP_Altitude, Message
-179.69,28.03,-13.67,17.58,1025.39,45.90,8.70,-62.25,0.30,0.30,0.73,-196.74,-196.76,-196.85,22.75,939.29,660.97,No messages
-178.44,27.98,-10.74,25.39,1021.48,47.40,9.75,-62.70,2.44,0.49,-2.01,-123.28,-123.74,-123.36,22.76,939.26,661.22,No messages
-177.20,27.79,-3.91,36.62,1027.83,48.30,9.60,-61.35,1.71,2.50,1.28,-123.33,-123.50,-123.33,22.75,939.24,661.35,No messages
-175.94,27.84,-0.98,22.46,1026.37,48.00,8.10,-62.10,1.71,1.83,-2.01,-123.64,-123.72,-123.12,22.75,939.26,661.22,No messages
-174.69,27.89,1.95,19.04,1028.81,46.95,8.40,-60.30,-0.12,-0.67,1.22,-123.62,-123.70,-122.98,22.74,939.26,661.17,No messages
-173.45,27.98,2.44,22.95,1026.86,46.65,9.45,-60.75,0.43,0.30,-1.83,-123.64,-123.92,-123.28,22.74,939.27,661.11,No messages
-172.21,27.89,0.98,28.32,1027.83,47.40,8.70,-61.20,1.59,1.10,-0.61,-123.34,-123.70,-123.47,22.74,939.27,661.07,No messages
-170.95,27.65,4.88,32.23,1026.37,48.00,9.15,-61.35,1.34,1.16,0.37,-123.61,-123.68,-123.09,22.73,939.26,661.20,No messages
-169.71,27.79,-11.23,30.27,1028.32,46.95,9.15,-61.05,-0.30,2.26,-0.55,-123.31,-123.68,-122.99,22.73,939.26,661.20,No messages
-168.46,27.79,2.44,11.72,1039.06,48.00,9.15,-60.60,-0.85,3.96,-0.43,-123.20,-123.41,-123.48,22.72,939.27,661.06,No messages
-167.22,27.69,-14.16,35.64,1032.71,47.40,9.00,-61.20,3.29,2.20,2.80,-123.57,-123.67,-123.27,22.72,939.27,661.06,No messages
-165.96,27.50,-2.44,26.37,1020.02,47.85,9.75,-60.75,2.20,1.95,-2.80,-123.53,-123.68,-123.34,22.71,939.27,661.01,No messages
-164.71,27.65,-2.44,25.88,1023.44,47.40,10.50,-61.50,2.74,-0.06,-3.41,-123.40,-123.59,-123.10,22.71,939.27,661.00,No messages
-163.47,27.84,4.88,28.81,1024.41,47.70,8.10,-62.10,3.90,0.91,-1.16,-123.62,-123.88,-123.39,22.71,939.28,660.95,No messages
-162.22,27.89,-15.14,24.90,1020.51,46.35,10.20,-60.15,1.71,3.48,-4.02,-123.15,-123.81,-123.44,22.70,939.27,660.99,No messages
-160.96,27.50,-10.74,22.46,1027.83,47.70,8.10,-62.55,-2.32,4.02,4.21,-123.36,-123.34,-123.45,22.71,939.28,660.92,No messages
-159.72,27.65,4.39,25.88,1022.46,48.15,9.00,-62.25,3.11,-0.30,1.34,-123.47,-123.82,-123.21,22.70,939.27,660.99,No messages
-158.48,27.79,-2.93,27.83,1036.13,47.40,9.00,-62.25,-0.49,0.61,0.18,-123.54,-123.67,-123.08,22.70,939.29,660.83,No messages
-157.23,27.65,-8.79,10.25,1025.88,46.50,7.20,-62.10,2.32,-0.24,1.83,-123.63,-123.78,-123.50,22.69,939.30,660.69,No messages
-155.97,27.65,6.35,23.44,1028.81,48.00,8.85,-62.10,1.95,0.43,4.02,-123.52,-123.70,-123.19,22.69,939.32,660.48,No messages
-154.73,27.55,-5.86,34.67,1025.39,48.00,9.60,-61.05,0.43,0.79,1.28,-123.46,-123.38,-122.92,22.69,939.31,660.61,No messages
-153.49,27.79,5.86,33.20,1031.74,47.10,9.75,-62.25,0.12,1.95,-0.30,-123.63,-123.81,-123.45,22.69,939.31,660.58,No messages
-152.24,27.89,0.49,27.83,1028.81,48.15,8.25,-62.70,-1.04,1.16,-0.79,-123.38,-123.45,-123.32,22.69,939.31,660.61,No messages
-150.98,27.55,-15.63,23.44,1033.69,47.70,8.85,-62.55,-1.34,2.62,0.06,-123.55,-123.87,-123.33,22.69,939.31,660.62,No messages
-149.74,27.50,-4.39,23.44,1014.65,46.95,8.40,-62.10,-0.12,0.12,0.91,-123.41,-123.62,-123.53,22.69,939.31,660.60,No messages
-148.49,27.79,-11.72,19.04,1042.48,48.30,10.80,-62.10,2.26,1.95,0.61,-123.67,-123.65,-123.27,22.68,939.31,660.54,No messages
-147.24,27.50,-5.37,32.23,1030.27,46.50,9.15,-61.35,2.80,-1.52,0.30,-123.10,-123.67,-123.36,22.67,939.27,660.90,No messages
-145.99,27.55,1.95,30.27,1019.53,48.15,8.25,-62.25,1.10,0.37,-0.06,-123.58,-123.70,-123.13,22.68,939.29,660.73,No messages
-144.74,27.50,-5.37,19.04,1038.57,48.90,8.70,-62.70,-0.91,1.28,2.80,-123.47,-123.57,-123.22,22.68,939.33,660.37,No messages
-143.49,27.36,-1.46,22.95,1019.53,46.95,9.60,-61.80,2.32,1.77,0.43,-123.53,-123.63,-123.10,22.68,939.33,660.39,No messages
-142.25,27.69,-2.93,21.00,1032.71,48.75,9.60,-62.10,0.98,0.55,-1.22,-123.50,-123.73,-123.26,22.68,939.31,660.60,No messages
-140.99,27.65,0.00,9.28,1036.13,46.65,9.00,-60.75,-0.37,2.44,0.06,-123.58,-123.59,-123.44,22.68,939.33,660.41,No messages
-139.75,27.69,-8.79,32.71,1013.67,48.30,9.15,-60.60,-0.61,1.28,-1.22,-123.52,-123.28,-123.38,22.67,939.32,660.46,No messages
